Yachay wayichawmi wamrakunata yachatsikuq kikintsaykan	En la escuela el profesor identifica a los alumnos	DIC-MINEDU-2005-187	[['yachay[N]'], ['wayi[N]+chaw[Loc]+mi[Asrt]'], ['wamra[N]+kuna[Pl]+ta[Obj]'], ['yachatsikuq[N]'], ['kiki[PRON.Refl]+n[Poss.3]+tsaA[Transl]+YkaA[Prog]+n[3]']]	[[('Yachay', 'yachay')], [('wayi', 'wayi'), ('chaw', 'chaw'), ('mi', 'mi')], [('wamra', 'wamra'), ('kuna', 'kuna'), ('ta', 'ta')], [('yachatsikuq', 'yachatsikuq')], [('kiki', 'kiki'), ('n', 'n'), ('tsa', 'tsaA'), ('yka', 'YkaA'), ('n', 'n')]]	[['yacha[VTr]+y[Imp.2]', 'yacha[VTr]+y[Inf]', 'yacha[VInt]+y[Imp.2]', 'yacha[VInt]+y[Inf]', 'yachay[N]'], ['wayi[N]+chaw[Loc]+mi[Asrt]'], ['wamra[N]+kuna[Pl]+ta[Obj]'], ['yacha[VTr]+tsi[Caus]+kU[Refl/Mid]+q[1.Sbj][2.Obj]', 'yacha[VInt]+tsi[Caus]+yku[Intens]+q[Hab]', 'yacha[VTr]+tsi[Caus]+kU[Refl/Mid]+q[Agt]', 'yachatsikuq[N]', 'yacha[VInt]+tsi[Caus]+yku[Intens]+q[1.Sbj][2.Obj]', 'yacha[VInt]+tsi[Caus]+yku[Intens]+q[Agt]', 'yacha[VTr]+tsi[Caus]+yku[Intens]+q[1.Sbj][2.Obj]', 'yacha[VInt]+tsi[Caus]+kU[Refl/Mid]+q[Agt]', 'yacha[VTr]+tsi[Caus]+yku[Intens]+q[Agt]', 'yacha[VInt]+tsi[Caus]+kU[Refl/Mid]+q[1.Sbj][2.Obj]', 'yacha[VInt]+tsi[Caus]+kU[Refl/Mid]+q[Hab]', 'yacha[VTr]+tsi[Caus]+kU[Refl/Mid]+q[Hab]', 'yacha[VTr]+tsi[Caus]+yku[Intens]+q[Hab]'], ['kikintsaykan[UNK]']]
Wamrakuna pukllayan makinkunawan.	Los niños juegan con las manos.	DIC-MINEDU-2005-279	[['wamra[N]+kuna[Pl]'], ['puklla[VTr]+yaA[VPl]+n[3]'], ['maki[N]+n[Poss.3]+kuna[Pl]+wan[Com]']]	[[('Wamra', 'wamra'), ('kuna', 'kuna')], [('puklla', 'puklla'), ('ya', 'yaA'), ('n', 'n')], [('maki', 'maki'), ('n', 'n'), ('kuna', 'kuna'), ('wan', 'wan')]]	[['wamra[N]+kuna[Pl]'], ['puklla[VTr]+yaA[VPl]+n[3]', 'puklla[N]+yan[Dist]', 'puklla[N]+yaA[Transf](VInt)+n[3]'], ['maki[N]+n[Poss.3]+kuna[Pl]+wan[Com]']]
Awaqmi minita ruraykan punchuta awananpaq.	El tejedor está preparando la trama para tejer el poncho.	DIC-MINEDU-2005-306	[['awa[VTr]+q[Agt]+mi[Asrt]'], ['mini[N]+ta[Obj]'], ['rura[VTr]+YkaA[Prog]+n[3]'], ['punchu[N]+ta[Obj]'], ['awa[VTr]+na[Pot](N)+n[Poss.3]+paq[Ben]']]	[[('Awa', 'awa'), ('q', 'q'), ('mi', 'mi')], [('mini', 'mini'), ('ta', 'ta')], [('rura', 'rura'), ('yka', 'YkaA'), ('n', 'n')], [('punchu', 'punchu'), ('ta', 'ta')], [('awa', 'awa'), ('na', 'na'), ('n', 'n'), ('paq', 'paq')]]	[['awa[VTr]+q[Agt]+mi[Asrt]', 'awa[VTr]+q[1.Sbj][2.Obj]+mi[Asrt]', 'awa[VTr]+q[Hab]+mi[Asrt]'], ['mini[N]+ta[Obj]', 'mini[VTr]+y[Inf]+ta[Obj]'], ['rura[VTr]+YkaA[Prog]+n[3]'], ['punchuta[UNK]'], ['awa[VTr]+na[Pot](N)+n[Poss.3]+paq[Ben]']]
Taqay warmim shumaq mukmutsin putskakuyninta.	Aquella mujer tuerce la lana muy bien.	DIC-MINEDU-2005-320	[['taqay[DET]'], ['warmi[N]+mi[Asrt]'], ['shumaq[ADJ]'], ['mukmu[VInt]+tsi[Caus]+n[3]'], ['putska[VTr]+kU[Refl/Mid]+y[Inf]+n[Poss.3]+ta[Obj]']]	[[('Taqay', 'taqay')], [('warmi', 'warmi'), ('m', 'mi')], [('shumaq', 'shumaq')], [('mukmu', 'mukmu'), ('tsi', 'tsi'), ('n', 'n')], [('putska', 'putska'), ('ku', 'kU'), ('y', 'y'), ('ni', 0), ('n', 'n'), ('ta', 'ta')]]	[['taqay[DET]', 'taqay[PRON]'], ['warmi[N]+mi[Asrt]'], ['shumaq[ADJ]'], ['mukmu[VInt]+tsi[Caus]+n[3]'], ['putska[VTr]+kU[Refl/Mid]+y[Inf]+n[Poss.3]+ta[Obj]']]
Nuqam triiguta aqaatsii mulinuchaw.	Yo hago moler el trigo en el molino.	DIC-MINEDU-2005-321	[['nuqa[PRON.Prs]+mi[Asrt]'], ['triigu[N]+ta[Obj]'], ['aqaa[VTr]+tsi[Caus]+ː[1]'], ['mulinu[N]+chaw[Loc]']]	[[('Nuqa', 'nuqa'), ('m', 'mi')], [('triigu', 'triigu'), ('ta', 'ta')], [('aqaa', 'aqaa'), ('tsi', 'tsi'), ('i', 'ː')], [('mulinu', 'mulinu'), ('chaw', 'chaw')]]	[['nuqa[PRON.Prs]+mi[Asrt]'], ['triigu[N]+ta[Obj]'], ['aqaatsii[UNK]'], ['mulinu[N]+chaw[Loc]']]
Pikim kuchita uyuyaatsin	El pique enflaquece al chancho.	DIC-MINEDU-2005-402	[['piki[N]+mi[Asrt]'], ['kuchi[N]+ta[Obj]'], ['uyu[ADJ]+yaA[Transf](VInt)+tsi[Caus]+n[3]']]	[[('Piki', 'piki'), ('m', 'mi')], [('kuchi', 'kuchi'), ('ta', 'ta')], [('uyu', 'uyu'), ('yaa', 'yaA'), ('tsi', 'tsi'), ('n', 'n')]]	[['piki[N]+mi[Asrt]'], ['kuchi[N]+ta[Obj]'], ['uyu[ADJ]+yaA[Transf](VInt)+tsi[Caus]+n[3]']]
Warmi wamrakunam aqtsanta piltakuyan	Las niñas se hacen trenzas	DIC-MINEDU-2005-405	[['warmi[N]'], ['wamra[N]+kuna[Pl]+mi[Asrt]'], ['aqtsa[N]+n[Poss.3]+ta[Obj]'], ['pilta[VTr]+kU[Refl/Mid]+yaA[VPl]+n[3]']]	[[('Warmi', 'warmi')], [('wamra', 'wamra'), ('kuna', 'kuna'), ('m', 'mi')], [('aqtsa', 'aqtsa'), ('n', 'n'), ('ta', 'ta')], [('pilta', 'pilta'), ('ku', 'kU'), ('ya', 'yaA'), ('n', 'n')]]	[['warmi[N]'], ['wamra[N]+kuna[Pl]+mi[Asrt]'], ['aqtsa[N]+n[Poss.3]+ta[Obj]'], ['pilta[VTr]+kU[Refl/Mid]+yaA[VPl]+n[3]']]
Waynakunaqa pinkullu tukaytam yachakuykaayan	Los jóvenes están aprendiendo a tocar la flauta	DIC-MINEDU-2005-406	[['wayna[N]+kuna[Pl]+qa[Top]'], ['pinkullu[N]'], ['tuka[VTr]+y[Inf]+ta[Obj]+mi[Asrt]'], ['yacha[VTr]+kU[Refl/Mid]+YkaA[Prog]+yaA[VPl]+n[3]']]	[[('Wayna', 'wayna'), ('kuna', 'kuna'), ('qa', 'qa')], [('pinkullu', 'pinkullu')], [('tuka', 'tuka'), ('y', 'y'), ('ta', 'ta'), ('m', 'mi')], [('yacha', 'yacha'), ('ku', 'kU'), ('ykaa', 'YkaA'), ('ya', 'yaA'), ('n', 'n')]]	[['waynaku[VInt]+na[Pot](N)+qa[Top]', 'wayna[N]+kuna[Pl]+qa[Top]'], ['pinkullu[N]'], ['tuka[V]+y[Inf]+ta[Obj]+mi[Asrt]'], ['yacha[VInt]+kU[Refl/Mid]+YkaA[Prog]+yaA[VPl]+n[3]', 'yacha[VTr]+kU[Refl/Mid]+YkaA[Prog]+yaA[VPl]+n[3]']]
Awilum kuchita qashpan	El abuelo está quemando el chancho para pelarlo	DIC-MINEDU-2005-483	[['awilu[N]+mi[Asrt]'], ['kuchi[N]+ta[Obj]'], ['qashpa[VTr]+n[3]']]	[[('Awilu', 'awilu'), ('m', 'mi')], [('kuchi', 'kuchi'), ('ta', 'ta')], [('qashpa', 'qashpa'), ('n', 'n')]]	[['awilu[N]+mi[Asrt]'], ['kuchi[N]+ta[Obj]'], ['qashpa[VTr]+n[3]']]
Mitsiqmi uushakunata qatiykan	El pastor está arreando las ovejas.	DIC-MINEDU-2005-487	[['mitsiq[N]+mi[Asrt]'], ['uusha[N]+kuna[Pl]+ta[Obj]'], ['qati[VTr]+YkaA[Prog]+n[3]']]	[[('Mitsiq', 'mitsiq'), ('mi', 'mi')], [('uusha', 'uusha'), ('kuna', 'kuna'), ('ta', 'ta')], [('qati', 'qati'), ('yka', 'YkaA'), ('n', 'n')]]	[['mitsi[VTr]+q[Agt]+mi[Asrt]', 'mitsi[VTr]+q[Hab]+mi[Asrt]', 'mitsi[VTr]+q[1.Sbj][2.Obj]+mi[Asrt]'], ['uusha[N]+kuna[Pl]+ta[Obj]'], ['qati[VTr]+YkaA[Prog]+n[3]']]
Peruwnintsikpa qiraranchawmi wikuña kan	El escudo de nuestra patria tiene una vicuña.	DIC-MINEDU-2005-510	[['peruw[PROPN]+ntsik[Poss.1Pl.Inc]+pa[Gen]'], ['qirara[N]+n[Poss.3]+chaw[Loc]+mi[Asrt]'], ['wikuña[N]'], ['ka[AUX]+n[3]']]	[[('Peruw', 'peruw'), ('ni', 0), ('ntsik', 'ntsik'), ('pa', 'pa')], [('qirara', 'qirara'), ('n', 'n'), ('chaw', 'chaw'), ('mi', 'mi')], [('wikuña', 'wikuña')], [('ka', 'ka'), ('n', 'n')]]	[['peruwnintsikpa[UNK]'], ['qiraranchawmi[UNK]'], ['wikuña[N]'], ['ka[AUX]+n[3]']]
Mamaa llullunpa piqanta awin quñuq yakuwan	Mi madre enjuaga la cabeza de su bebé con agua caliente.	DIC-MINEDU-2005-524	[['mama[N]+ː[Poss.1Sg]'], ['llullu[N]+n[Poss.3]+pa[Gen]'], ['piqa[N]+n[Poss.3]+ta[Obj]'], ['awi[VTr]+n[3]'], ['quñuq[ADJ]'], ['yaku[N]+wan[Com]']]	[[('Mama', 'mama'), ('a', 'ː')], [('llullu', 'llullu'), ('n', 'n'), ('pa', 'pa')], [('piqa', 'piqa'), ('n', 'n'), ('ta', 'ta')], [('awi', 'awi'), ('n', 'n')], [('quñuq', 'quñuq')], [('yaku', 'yaku'), ('wan', 'wan')]]	[['mamaa[N]', 'mama[N]+ː[Poss.1Sg]'], ['llullu[N]+n[Poss.3]+pa[Gen]', 'llullu[N]+n[Poss.3]+pa[Prol]', 'llullu[N]+n[Poss.3]+pa[Man]'], ['piqa[N]+n[Poss.3]+ta[Obj]'], ['awi[VTr]+n[3]'], ['quñuq[ADJ]'], ['yaku[N]+wan[Com]']]
Chakrapa qurpanchawmi kiswarta murushaq	Sembraré quishuar en el límite de la chacra.	DIC-MINEDU-2005-530	[['chakra[N]+pa[Gen]'], ['qurpa[N]+n[Poss.3]+chaw[Loc]+mi[Asrt]'], ['kiswar[N]+ta[Obj]'], ['muru[VTr]+shaq[Fut.1]']]	[[('Chakra', 'chakra'), ('pa', 'pa')], [('qurpa', 'qurpa'), ('n', 'n'), ('chaw', 'chaw'), ('mi', 'mi')], [('kiswar', 'kiswar'), ('ta', 'ta')], [('muru', 'muru'), ('shaq', 'shaq')]]	[['chakra[N]+pa[Man]', 'chakra[N]+pa[Prol]', 'chakra[N]+pa[Gen]'], ['qurpa[N]+n[Poss.3]+chaw[Loc]+mi[Asrt]'], ['kiswar[N]+ta[Obj]'], ['muru[VTr]+shaq[Fut.1]']]
Rinrii tsaparaptinmi manam imatapis wiyaatsu	Cuando mis orejas están tapadas no escucho nada	DIC-MINEDU-2005-574	[['rinri[N]+ː[Poss.1Sg]'], ['tsapa[VTr]+raA[Dur]+pti[Cnv](N)+n[Poss.3]+mi[Asrt]'], ['mana[ADV]+mi[Asrt]'], ['ima[PRON]+ta[Obj]+pis(Pron.Indef)'], ['wiya[VTr]+ː[1]+tsu[Neg]']]	[[('Rinri', 'rinri'), ('i', 'ː')], [('tsapa', 'tsapa'), ('ra', 'raA'), ('pti', 'pti'), ('n', 'n'), ('mi', 'mi')], [('mana', 'mana'), ('m', 'mi')], [('ima', 'ima'), ('ta', 'ta'), ('pis', 'pis')], [('wiya', 'wiya'), ('a', 'ː'), ('tsu', 'tsu')]]	[['rinri[N]+ː[Poss.1Sg]'], ['tsapa[VTr]+raA[Dur]+pti[Cnv](N)+n[Poss.3]+mi[Asrt]', 'tsapa[VTr]+rI[Pct]+pti[Cnv](N)+n[Poss.3]+mi[Asrt]'], ['mana[ADV]+mi[Asrt]'], ['ima[PRON]+ta[Obj]+pis(Pron.Indef)'], ['wiya[VTr]+ː[1]+tsu[Neg]']]
Paykunaqa warka rutuychawmi qatswakuykaayan	Ellos están bailando durante el corte de pelo.	DIC-MINEDU-2005-779	[['paykuna[PRON.Prs]+qa[Top]'], ['warka[N]'], ['rutu[VTr]+y[Inf]+chaw[Loc]+mi[Asrt]'], ['qatswa[VInt]+kU[Refl/Mid]+YkaA[Prog]+yaA[VPl]+n[3]']]	[[('Paykuna', 'paykuna'), ('qa', 'qa')], [('warka', 'warka')], [('rutu', 'rutu'), ('y', 'y'), ('chaw', 'chaw'), ('mi', 'mi')], [('qatswa', 'qatswa'), ('ku', 'kU'), ('ykaa', 'YkaA'), ('ya', 'yaA'), ('n', 'n')]]	[['paykuna[PRON.Prs]+qa[Top]'], ['warka[N]'], ['rutu[VTr]+y[Inf]+chaw[Loc]+mi[Asrt]'], ['qatswa[VInt]+kU[Refl/Mid]+YkaA[Prog]+yaA[VPl]+n[3]']]
Hirkatam yana pukutay tsaparamun	El nubarrón cubre el cerro.	DIC-MINEDU-2005-852	[['hirka[N]+ta[Obj]+mi[Asrt]'], ['yana[ADJ]'], ['pukutay[N]'], ['tsapa[VTr]+rI[Pct]+mu[Cis]+n[3]']]	[[('Hirka', 'hirka'), ('ta', 'ta'), ('m', 'mi')], [('yana', 'yana')], [('pukutay', 'pukutay')], [('tsapa', 'tsapa'), ('ra', 'rI'), ('mu', 'mu'), ('n', 'n')]]	[['hirka[N]+ta[Obj]+mi[Asrt]'], ['yana[ADJ]'], ['pukutay[N]'], ['tsapa[VTr]+rI[Pct]+mu[Cis]+n[3]']]
Payqa challwata mikunanpaq, charinanpaq hatun sachakunapitami yakuman pawaypa pintiykur yaku rurinchaw challwata piikunwan tsarin.	Martín pescador para pescar se lanza desde la rama de un árbol o arbusto y se zambulla dentro del agua para coger con su pico al pescado.	MP-ASH-088	[['pay[PRON.Prs]+qa[Top]'], ['challwa[N]+ta[Obj]'], ['miku[VTr]+na[Pot](N)+n[Poss.3]+paq[Ben]'], ['chaa[VTr]+rI[Pct]+na[Pot](N)+n[Poss.3]+paq[Ben]'], ['hatun[ADJ]'], ['sacha[N]+kuna[Pl]+pita[Abl]+mi[Asrt]'], ['yaku[N]+man[Dat]'], ['pawa[VInt]+y[Inf]+pa[Man](ADV)'], ['pinti[VInt]+yku[Intens]+r[Cnv](N)'], ['yaku[N]'], ['ruri[N]+n[Poss.3]+chaw[Loc]'], ['challwa[N]+ta[Obj]'], ['piiku[N]+n[Poss.3]+wan[Com]'], ['tsari[VTr]+n[3]']]	[[('Pay', 'pay'), ('qa', 'qa')], [('challwa', 'challwa'), ('ta', 'ta')], [('miku', 'miku'), ('na', 'na'), ('n', 'n'), ('paq', 'paq')], [('cha', 'chaa'), ('ri', 'rI'), ('na', 'na'), ('n', 'n'), ('paq', 'paq')], [('hatun', 'hatun')], [('sacha', 'sacha'), ('kuna', 'kuna'), ('pita', 'pita'), ('mi', 'mi')], [('yaku', 'yaku'), ('man', 'man')], [('pawa', 'pawa'), ('y', 'y'), ('pa', 'pa')], [('pinti', 'pinti'), ('yku', 'yku'), ('r', 'r')], [('yaku', 'yaku')], [('ruri', 'ruri'), ('n', 'n'), ('chaw', 'chaw')], [('challwa', 'challwa'), ('ta', 'ta')], [('piiku', 'piiku'), ('n', 'n'), ('wan', 'wan')], [('tsari', 'tsari'), ('n', 'n')]]	[['pay[PRON.Prs]+qa[Top]'], ['challwa[N]+ta[Obj]'], ['miku[VTr]+na[Pot](N)+n[Poss.3]+paq[Ben]'], ['chari[V]+na[Pot](N)+n[Poss.3]+paq[Ben]'], ['hatun[ADJ]'], ['sacha[N]+kuna[Pl]+pita[Abl]+mi[Asrt]'], ['yaku[N]+man[Dat]'], ['pawa[VInt]+y[Inf]+pa[Man]', 'pawa[VInt]+y[Inf]+pa[Gen]', 'pawa[VInt]+y[Inf]+pa[Prol]', 'pawa[VInt]+y[Inf]+pa[Man](ADV)'], ['pinti[VInt]+yku[Intens]+r[Cnv](N)'], ['yaku[N]'], ['ruri[N]+n[Poss.3]+chaw[Loc]'], ['challwa[N]+ta[Obj]'], ['piikunwan[UNK]'], ['tsari[VTr]+n[3]']]
Tsaymi aywayarqaa Kalikantupita witsaypam asta Kanshanqan.	Entonces fuimos a trabajar donde el Puente Calicanto para arriba hasta Canshancán.	CRH-01-070	[['tsay[PRON]+mi[Asrt]'], ['aywa[VTr]+yaA[VPl]+rqa[Pst]+ː[1]'], ['kalikantu[PROPN]+pita[Abl]'], ['witsa[VTr]+y[Inf]+pa[Man]+mi[Asrt]'], ['asta[ADP]'], ['kanshanqan[PROPN]']]	[[('Tsay', 'tsay'), ('mi', 'mi')], [('aywa', 'aywa'), ('ya', 'yaA'), ('rqa', 'rqa'), ('a', 'ː')], [('Kalikantu', 'kalikantu'), ('pita', 'pita')], [('witsa', 'witsa'), ('y', 'y'), ('pa', 'pa'), ('m', 'mi')], [('asta', 'asta')], [('Kanshanqan', 'kanshanqan')]]	[['tsay[PRON.Dem]+mi[Asrt]', 'tsay[PRON]+mi[Asrt]'], ['aywa[VTr]+yaA[VPl]+rqa[Pst]+ː[1]'], ['kalikantupita[UNK]'], ['witsa[VTr]+y[Inf]+pa[Gen]+mi[Asrt]', 'witsa[VTr]+y[Inf]+pa[Man]+mi[Asrt]', 'witsay[N]+pa[Gen]+mi[Asrt]', 'witsay[N]+pa[Man]+mi[Asrt]', 'witsa[VTr]+y[Inf]+pa[Prol]+mi[Asrt]', 'witsay[N]+pa[Prol]+mi[Asrt]'], ['asta[ADP]'], ['kanshanqan[UNK]']]
Tsay diyakunaqa allaapam resakuy kaykurqan, imanakaqpis.	Esos días había mucho rezo, todos venían.	CRH-02-025	[['tsay[DET]'], ['diya[N]+kuna[Pl]+qa[Top]'], ['allaapa[ADV]+mi[Asrt]'], ['resa[V]+kU[Refl/Mid]+y[Inf]'], ['ka[AUX]+yku[Intens]+rqa[Pst]+n[3]'], ['imanakaqpis[PRON]']]	[[('Tsay', 'tsay')], [('diya', 'diya'), ('kuna', 'kuna'), ('qa', 'qa')], [('allaapa', 'allaapa'), ('m', 'mi')], [('resa', 'resa'), ('ku', 'kU'), ('y', 'y')], [('ka', 'ka'), ('yku', 'yku'), ('rqa', 'rqa'), ('n', 'n')], [('imanakaqpis', 'imanakaqpis')]]	[['tsay[DET]', 'tsay[PRON]'], ['diya[N]+kuna[Pl]+qa[Top]'], ['allaapa[ADV]+mi[Asrt]', 'allaapa[N]+mi[Asrt]'], ['resa[V]+kU[Refl/Mid]+y[Inf]', 'resa[V]+kU[Refl/Mid]+y[Imp.2]'], ['ka[AUX]+yku[Intens]+rqa[Pst]+n[3]'], ['imana[VInt]+kaA[Pass]+q[Hab]+pis[Coord]', 'imana[VInt]+kaA[Pass]+q[1.Sbj][2.Obj]+pis[Coord]', 'imana[VInt]+kaA[Pass]+q[Agt]+pis[Coord]']]
Harata murunapaq chakrata saachintsikmi, o mana tsaypis ashtantsik wanuta wayillapita, haka wanuta o wallpa o kuchi wanukunata.	Para sembrar maíz preparamos la chacra con abono de ganado, o si no llevamos abono de la casa, guano de cuy, de gallinas o chanchos.	CRH-22-002	[['hara[N]+ta[Obj]'], ['muru[VTr]+na[Pot](N)+paq[Ben]'], ['chakra[N]+ta[Obj]'], ['saachi[VTr]+ntsik[1Pl.Inc]+mi[Asrt]'], ['o[CCONJ]'], ['mana[ADV]'], ['tsay[PRON]+pis(Pron.Indef)'], ['ashta[VTr]+ntsik[1Pl.Inc]'], ['wanu[N]+ta[Obj]'], ['wayi[N]+lla[Lim]+pita[Abl]'], ['haka[N]'], ['wanu[N]+ta[Obj]'], ['o[CCONJ]'], ['wallpa[N]'], ['o[CCONJ]'], ['kuchi[N]'], ['wanu[N]+kuna[Pl]+ta[Obj]']]	[[('Hara', 'hara'), ('ta', 'ta')], [('muru', 'muru'), ('na', 'na'), ('paq', 'paq')], [('chakra', 'chakra'), ('ta', 'ta')], [('saachi', 'saachi'), ('ntsik', 'ntsik'), ('mi', 'mi')], [('o', 'o')], [('mana', 'mana')], [('tsay', 'tsay'), ('pis', 'pis')], [('ashta', 'ashta'), ('ntsik', 'ntsik')], [('wanu', 'wanu'), ('ta', 'ta')], [('wayi', 'wayi'), ('lla', 'lla'), ('pita', 'pita')], [('haka', 'haka')], [('wanu', 'wanu'), ('ta', 'ta')], [('o', 'o')], [('wallpa', 'wallpa')], [('o', 'o')], [('kuchi', 'kuchi')], [('wanu', 'wanu'), ('kuna', 'kuna'), ('ta', 'ta')]]	[['hara[N]+ta[Obj]'], ['muru[VTr]+na[Pot](N)+paq[Ben]', 'muru[VTr]+naA[Prosp]+paA[Exc]+q[Hab]', 'muru[VTr]+naA[Prosp]+pa[Apl]+q[1.Sbj][2.Obj]', 'muru[VTr]+naA[Prosp]+pa[Apl]+q[Agt]', 'muru[VTr]+naA[Prosp]+paA[Exc]+q[Agt]', 'muru[VTr]+naA[Prosp]+pa[Apl]+q[Hab]', 'muru[VTr]+naA[Prosp]+paA[Exc]+q[1.Sbj][2.Obj]'], ['chakra[N]+ta[Obj]'], ['saachi[N]+ntsik[Poss.1Pl.Inc]+mi[Asrt]', 'saachi[VTr]+ntsik[1Pl.Inc]+mi[Asrt]'], ['o[CCONJ]'], ['mana[INTJ]', 'mana[ADV]'], ['tsay[PRON]+pis(Pron.Indef)'], ['ashta[VTr]+ntsik[1Pl.Inc]'], ['wanu[N]+ta[Obj]'], ['wayi[N]+lla[Lim]+pita[Abl]'], ['haka[N]'], ['wanu[N]+ta[Obj]'], ['o[CCONJ]'], ['wallpa[N]'], ['o[CCONJ]'], ['kuchi[N]'], ['wanu[VInt]+kU[Refl/Mid]+na[Pot](N)+ta[Obj]', 'wanu[N]+kuna[Pl]+ta[Obj]']]
I despwesnash kikin bruhuqa siqikaariq, sutakaarir wanuriq, ardayta rurar.	Y después el brujo mismo se cayó, fingiéndose desmayado, haciéndolo de propósito.	CRH-32-052	[['i[CCONJ]'], ['despwes[ADV]+na[Acp]+shi[Nfh]'], ['kiki[PRON.Refl]+n[Poss.3]'], ['bruhu[N]+qa[UNK]'], ['siqi[VTr]+kaA[Pass]+rI[Pct]+q[Hab]'], ['suta[VTr]+kaA[Pass]+rI[Pct]+r[Cnv](N)'], ['wanu[VInt]+rI[Pct]+q[Hab]'], ['arday[ADV]+ta[Obj]'], ['rura[VTr]+r[Cnv](N)']]	[[('I', 'i')], [('despwes', 'despwes'), ('na', 'na'), ('sh', 'shi')], [('kiki', 'kiki'), ('n', 'n')], [('bruhu', 'bruhu'), ('qa', 'qa')], [('siqi', 'siqi'), ('kaa', 'kaA'), ('ri', 'rI'), ('q', 'q')], [('suta', 'suta'), ('kaa', 'kaA'), ('ri', 'rI'), ('r', 'r')], [('wanu', 'wanu'), ('ri', 'rI'), ('q', 'q')], [('arday', 'arday'), ('ta', 'ta')], [('rura', 'rura'), ('r', 'r')]]	[['i[CCONJ]'], ['despwes[ADV]+na[Acp]+shi[Nfh]'], ['kiki[PRON.Refl]+n[Poss.3]'], ['bruhuqa[UNK]'], ['siqi[VTr]+kaA[Pass]+rI[Pct]+q[Hab]', 'siqi[VTr]+kaA[Pass]+rI[Pct]+q[Agt]', 'siqi[VTr]+kaA[Pass]+rI[Pct]+q[1.Sbj][2.Obj]'], ['suta[VTr]+kaA[Pass]+rI[Pct]+r[Cnv](N)'], ['wanu[VInt]+rI[Pct]+q[Hab]', 'wanu[VInt]+rI[Pct]+q[1.Sbj][2.Obj]', 'wanu[VInt]+rI[Pct]+q[Agt]'], ['arday[ADV]+ta[Obj]'], ['rura[VTr]+r[Cnv](N)']]
Tsaymi merendakurir kutikuu nuqaqa.	Así, después de tomar mi lonche, yo vuelvo.	CRH-34-020	[['tsay[PRON]+mi[Asrt]'], ['merenda[VInt]+ku[Refl/Mid]+rI[Pct]+r[Cnv](N)'], ['kuti[VInt]+kU[Refl/Mid]+ː[1]'], ['nuqa[PRON.Prs]+qa[Top]']]	[[('Tsay', 'tsay'), ('mi', 'mi')], [('merenda', 'merenda'), ('ku', 'ku'), ('ri', 'rI'), ('r', 'r')], [('kuti', 'kuti'), ('ku', 'kU'), ('u', 'ː')], [('nuqa', 'nuqa'), ('qa', 'qa')]]	[['tsay[PRON.Dem]+mi[Asrt]', 'tsay[PRON]+mi[Asrt]'], ['merendakurir[UNK]'], ['kuti[VInt]+yku[Intens]+ː[1]', 'kuti[VInt]+kU[Refl/Mid]+ː[1]'], ['nuqa[PRON.Prs]+qa[Top]']]
